architecture,optical_grade,emissivity_grade,abs_per_pass,total_absorption_fraction,absorbed_solar_power_W,total_heat_load_W,heat_store_energy_J,heat_store_energy_MJ,dwell_time_years,emissivity,thermal_luminosity_W,wien_peak_um,detector_diameter_m,pointed_detection_distance_m,pointed_detection_distance_EM,survey_detection_distance_m,survey_detection_distance_EM,heat_store_material_class,heat_store_density_kg_m3,heat_store_usable_energy_j_kg,Temperature K,Verdict
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.0001,5.670374419e-07,289.8,6.5,117898020.2384093,0.30670660832052365,3728262.755780012,0.009698914557180052,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.0001,5.670374419e-07,289.8,30.0,544144708.7926582,1.4155689614793399,17207366.565138515,0.0447642210331387,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.0001,5.670374419e-07,289.8,1.0,18138156.959755275,0.04718563204931133,573578.8855046172,0.0014921407011046234,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.0001,5.670374419e-07,289.8,6.5,117898020.2384093,0.30670660832052365,3728262.755780012,0.009698914557180052,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.0001,5.670374419e-07,289.8,30.0,544144708.7926582,1.4155689614793399,17207366.565138515,0.0447642210331387,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.0001,9.0725990704e-06,144.9,1.0,51302455.13787571,0.13346112158656534,1622326.0779429486,0.004220411232942114,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.0001,9.0725990704e-06,144.9,6.5,333465958.39619213,0.8674972903126746,10545119.506629165,0.027432673014123738,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.0001,9.0725990704e-06,144.9,30.0,1539073654.1362712,4.003833647596959,48669782.338288456,0.1266123369882634,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.0001,9.0725990704e-06,144.9,1.0,51302455.13787571,0.13346112158656534,1622326.0779429486,0.004220411232942114,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.0001,9.0725990704e-06,144.9,6.5,333465958.39619213,0.8674972903126746,10545119.506629165,0.027432673014123738,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.0001,9.0725990704e-06,144.9,30.0,1539073654.1362712,4.003833647596959,48669782.338288456,0.1266123369882634,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.0001,9.0725990704e-06,144.9,1.0,51302455.13787571,0.13346112158656534,1622326.0779429486,0.004220411232942114,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.0001,9.0725990704e-06,144.9,6.5,333465958.39619213,0.8674972903126746,10545119.506629165,0.027432673014123738,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.0001,9.0725990704e-06,144.9,30.0,1539073654.1362712,4.003833647596959,48669782.338288456,0.1266123369882634,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,97200000.0,97.2,11.31556772970825,0.0001,0.0003543984011875,57.96,1.0,202790759.74286845,0.5275514041177639,6412806.89223446,0.016682640198320657,liquid nitrogen,810.0,120000.0,50.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,97200000.0,97.2,11.31556772970825,0.0001,0.0003543984011875,57.96,6.5,1318139938.328645,3.4290841267654657,41683244.799523994,0.10843716128908427,liquid nitrogen,810.0,120000.0,50.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,97200000.0,97.2,11.31556772970825,0.0001,0.0003543984011875,57.96,30.0,6083722792.286054,15.826542123532917,192384206.76703382,0.5004792059496197,liquid nitrogen,810.0,120000.0,50.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,972000000.0,972.0,113.1556772970825,0.0001,0.0003543984011875,57.96,1.0,202790759.74286845,0.5275514041177639,6412806.89223446,0.016682640198320657,liquid nitrogen,810.0,120000.0,50.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,972000000.0,972.0,113.1556772970825,0.0001,0.0003543984011875,57.96,6.5,1318139938.328645,3.4290841267654657,41683244.799523994,0.10843716128908427,liquid nitrogen,810.0,120000.0,50.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,972000000.0,972.0,113.1556772970825,0.0001,0.0003543984011875,57.96,30.0,6083722792.286054,15.826542123532917,192384206.76703382,0.5004792059496197,liquid nitrogen,810.0,120000.0,50.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,9720000000.0,9720.0,1131.556772970825,0.0001,0.0003543984011875,57.96,1.0,202790759.74286845,0.5275514041177639,6412806.89223446,0.016682640198320657,liquid nitrogen,810.0,120000.0,50.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,9720000000.0,9720.0,1131.556772970825,0.0001,0.0003543984011875,57.96,6.5,1318139938.328645,3.4290841267654657,41683244.799523994,0.10843716128908427,liquid nitrogen,810.0,120000.0,50.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,9720000000.0,9720.0,1131.556772970825,0.0001,0.0003543984011875,57.96,30.0,6083722792.286054,15.826542123532917,192384206.76703382,0.5004792059496197,liquid nitrogen,810.0,120000.0,50.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.001,1.451615851264e-07,724.5,1.0,14510525.567804214,0.037748505639449044,458863.10840369354,0.001193712560883698,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.001,1.451615851264e-07,724.5,6.5,94318416.1907274,0.24536528665641882,2982610.2046240084,0.007759131645744039,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.001,1.451615851264e-07,724.5,30.0,435315767.03412634,1.1324551691834712,13765893.252110803,0.035811376826510935,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.001,1.451615851264e-07,724.5,1.0,14510525.567804214,0.037748505639449044,458863.10840369354,0.001193712560883698,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.001,1.451615851264e-07,724.5,6.5,94318416.1907274,0.24536528665641882,2982610.2046240084,0.007759131645744039,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.001,1.451615851264e-07,724.5,30.0,435315767.03412634,1.1324551691834712,13765893.252110803,0.035811376826510935,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.001,1.451615851264e-07,724.5,1.0,14510525.567804214,0.037748505639449044,458863.10840369354,0.001193712560883698,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.001,1.451615851264e-07,724.5,6.5,94318416.1907274,0.24536528665641882,2982610.2046240084,0.007759131645744039,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.001,1.451615851264e-07,724.5,30.0,435315767.03412634,1.1324551691834712,13765893.252110803,0.035811376826510935,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.001,5.670374419e-06,289.8,1.0,57357888.55046172,0.1492140701104623,1813815.6959755276,0.004718563204931133,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.001,5.670374419e-06,289.8,6.5,372826275.57800114,0.9698914557180051,11789802.023840928,0.030670660832052363,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.001,5.670374419e-06,289.8,30.0,1720736656.5138514,4.47642210331387,54414470.87926582,0.14155689614793399,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.001,5.670374419e-06,289.8,1.0,57357888.55046172,0.1492140701104623,1813815.6959755276,0.004718563204931133,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.001,5.670374419e-06,289.8,6.5,372826275.57800114,0.9698914557180051,11789802.023840928,0.030670660832052363,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.001,5.670374419e-06,289.8,30.0,1720736656.5138514,4.47642210331387,54414470.87926582,0.14155689614793399,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.001,5.670374419e-06,289.8,1.0,57357888.55046172,0.1492140701104623,1813815.6959755276,0.004718563204931133,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.001,5.670374419e-06,289.8,6.5,372826275.57800114,0.9698914557180051,11789802.023840928,0.030670660832052363,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.001,5.670374419e-06,289.8,30.0,1720736656.5138514,4.47642210331387,54414470.87926582,0.14155689614793399,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.001,9.0725990704e-05,144.9,1.0,162232607.79429486,0.4220411232942114,5130245.513787571,0.013346112158656533,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.001,9.0725990704e-05,144.9,6.5,1054511950.6629164,2.7432673014123736,33346595.839619208,0.08674972903126744,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.001,9.0725990704e-05,144.9,30.0,4866978233.828846,12.661233698826342,153907365.41362715,0.400383364759696,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.001,9.0725990704e-05,144.9,1.0,162232607.79429486,0.4220411232942114,5130245.513787571,0.013346112158656533,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.001,9.0725990704e-05,144.9,6.5,1054511950.6629164,2.7432673014123736,33346595.839619208,0.08674972903126744,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.001,9.0725990704e-05,144.9,30.0,4866978233.828846,12.661233698826342,153907365.41362715,0.400383364759696,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.001,9.0725990704e-05,144.9,1.0,162232607.79429486,0.4220411232942114,5130245.513787571,0.013346112158656533,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.001,9.0725990704e-05,144.9,6.5,1054511950.6629164,2.7432673014123736,33346595.839619208,0.08674972903126744,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.001,9.0725990704e-05,144.9,30.0,4866978233.828846,12.661233698826342,153907365.41362715,0.400383364759696,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,97200000.0,97.2,11.31556772970825,0.001,0.0035439840118749997,57.96,1.0,641280689.223446,1.6682640198320655,20279075.974286847,0.0527551404117764,liquid nitrogen,810.0,120000.0,50.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,97200000.0,97.2,11.31556772970825,0.001,0.0035439840118749997,57.96,6.5,4168324479.952399,10.843716128908426,131813993.83286448,0.34290841267654654,liquid nitrogen,810.0,120000.0,50.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,97200000.0,97.2,11.31556772970825,0.001,0.0035439840118749997,57.96,30.0,19238420676.70338,50.047920594961965,608372279.2286054,1.5826542123532918,liquid nitrogen,810.0,120000.0,50.0,Marginal
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,972000000.0,972.0,113.1556772970825,0.001,0.0035439840118749997,57.96,1.0,641280689.223446,1.6682640198320655,20279075.974286847,0.0527551404117764,liquid nitrogen,810.0,120000.0,50.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,972000000.0,972.0,113.1556772970825,0.001,0.0035439840118749997,57.96,6.5,4168324479.952399,10.843716128908426,131813993.83286448,0.34290841267654654,liquid nitrogen,810.0,120000.0,50.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,972000000.0,972.0,113.1556772970825,0.001,0.0035439840118749997,57.96,30.0,19238420676.70338,50.047920594961965,608372279.2286054,1.5826542123532918,liquid nitrogen,810.0,120000.0,50.0,Marginal
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,9720000000.0,9720.0,1131.556772970825,0.001,0.0035439840118749997,57.96,1.0,641280689.223446,1.6682640198320655,20279075.974286847,0.0527551404117764,liquid nitrogen,810.0,120000.0,50.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,9720000000.0,9720.0,1131.556772970825,0.001,0.0035439840118749997,57.96,6.5,4168324479.952399,10.843716128908426,131813993.83286448,0.34290841267654654,liquid nitrogen,810.0,120000.0,50.0,Strong
mirror,A,B,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,9720000000.0,9720.0,1131.556772970825,0.001,0.0035439840118749997,57.96,30.0,19238420676.70338,50.047920594961965,608372279.2286054,1.5826542123532918,liquid nitrogen,810.0,120000.0,50.0,Marginal
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.01,1.4516158512639998e-06,724.5,1.0,45886310.84036935,0.1193712560883698,1451052.5567804214,0.003774850563944905,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.01,1.4516158512639998e-06,724.5,6.5,298261020.4624008,0.7759131645744037,9431841.619072739,0.02453652866564188,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.01,1.4516158512639998e-06,724.5,30.0,1376589325.2110806,3.581137682651094,43531576.703412645,0.11324551691834715,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.01,1.4516158512639998e-06,724.5,1.0,45886310.84036935,0.1193712560883698,1451052.5567804214,0.003774850563944905,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.01,1.4516158512639998e-06,724.5,6.5,298261020.4624008,0.7759131645744037,9431841.619072739,0.02453652866564188,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.01,1.4516158512639998e-06,724.5,30.0,1376589325.2110806,3.581137682651094,43531576.703412645,0.11324551691834715,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.01,1.4516158512639998e-06,724.5,1.0,45886310.84036935,0.1193712560883698,1451052.5567804214,0.003774850563944905,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.01,1.4516158512639998e-06,724.5,6.5,298261020.4624008,0.7759131645744037,9431841.619072739,0.02453652866564188,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.01,1.4516158512639998e-06,724.5,30.0,1376589325.2110806,3.581137682651094,43531576.703412645,0.11324551691834715,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.01,5.670374418999999e-05,289.8,1.0,181381569.59755275,0.47185632049311327,5735788.855046172,0.014921407011046233,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.01,5.670374418999999e-05,289.8,6.5,1178980202.3840928,3.067066083205236,37282627.557800114,0.09698914557180051,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.01,5.670374418999999e-05,289.8,30.0,5441447087.926582,14.155689614793399,172073665.65138516,0.447642210331387,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.01,5.670374418999999e-05,289.8,1.0,181381569.59755275,0.47185632049311327,5735788.855046172,0.014921407011046233,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.01,5.670374418999999e-05,289.8,6.5,1178980202.3840928,3.067066083205236,37282627.557800114,0.09698914557180051,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.01,5.670374418999999e-05,289.8,30.0,5441447087.926582,14.155689614793399,172073665.65138516,0.447642210331387,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.01,5.670374418999999e-05,289.8,1.0,181381569.59755275,0.47185632049311327,5735788.855046172,0.014921407011046233,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.01,5.670374418999999e-05,289.8,6.5,1178980202.3840928,3.067066083205236,37282627.557800114,0.09698914557180051,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.01,5.670374418999999e-05,289.8,30.0,5441447087.926582,14.155689614793399,172073665.65138516,0.447642210331387,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.01,0.0009072599070399999,144.9,1.0,513024551.37875706,1.3346112158656531,16223260.779429484,0.04220411232942113,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.01,0.0009072599070399999,144.9,6.5,3334659583.961921,8.674972903126745,105451195.06629166,0.27432673014123743,liquid hydrogen,71.0,220000.0,20.0,Strong
mirror,A,C,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.01,0.0009072599070399999,144.9,30.0,15390736541.362713,40.038336475969594,486697823.38288456,1.2661233698826342,liquid hydrogen,71.0,220000.0,20.0,Marginal
